,m.ss.yi,m.ss.ch.nm,m.ta,m.th,m.res.1x2,m.res.bts,m.odds.f.1x2.f.v.med,m.odds.f.1x2.m.v.med,m.odds.f.1x2.u.v.med,m.odds.f.1x2.f.c,m.odds.f.1x2.m.c,m.odds.f.1x2.u.c,m.odds.f.bts.f.v.med,m.odds.f.bts.u.v.med,m.odds.f.bts.f.c,m.odds.f.bts.u.c,m.odds.s.1x2.h.t.med,m.odds.s.1x2.d.t.med,m.odds.s.1x2.a.t.med,m.odds.s.bts.y.t.med,m.odds.s.bts.n.t.med
0,2007,Brazil B,Ituano,Avai,h,n,,,,,,,,,,,,,,,
1,2007,Brazil B,Santo Andre,Ceara,a,y,,,,,,,,,,,,,,,
2,2007,Brazil B,Barueri,CRB,h,y,,,,,,,,,,,,,,,
3,2007,Brazil B,Bahia,Gama,h,n,,,,,,,,,,,,,,,
4,2007,Brazil B,Fortaleza,Marilia,a,y,,,,,,,,,,,,,,,
5,2007,Brazil B,Betim,Paulista,a,y,,,,,,,,,,,,,,,
6,2007,Brazil B,Criciuma,Portuguesa,h,y,,,,,,,,,,,,,,,
7,2007,Brazil B,Ponte Preta,Remo,a,n,,,,,,,,,,,,,,,
8,2007,Brazil B,Coritiba,Santa Cruz,a,y,,,,,,,,,,,,,,,
9,2007,Brazil B,Brasiliense,Sao Caetano,h,n,,,,,,,,,,,,,,,
10,2007,Brazil B,Remo,Bahia,d,y,,,,,,,,,,,,,,,
11,2007,Brazil B,Gama,Barueri,a,n,,,,,,,,,,,,,,,
12,2007,Brazil B,Sao Caetano,Betim,h,n,,,,,,,,,,,,,,,
13,2007,Brazil B,Portuguesa,Brasiliense,d,y,,,,,,,,,,,,,,,
14,2007,Brazil B,Santa Cruz,Criciuma,h,n,,,,,,,,,,,,,,,
15,2007,Brazil B,Paulista,Fortaleza,h,y,,,,,,,,,,,,,,,
16,2007,Brazil B,CRB,Ituano,a,n,,,,,,,,,,,,,,,
17,2007,Brazil B,Ceara,Ponte Preta,d,y,,,,,,,,,,,,,,,
18,2007,Brazil B,Marilia,Coritiba,a,y,,,,,,,,,,,,,,,
19,2007,Brazil B,Avai,Santo Andre,h,n,,,,,,,,,,,,,,,
20,2007,Brazil B,CRB,Bahia,h,y,,,,,,,,,,,,,,,
21,2007,Brazil B,Ceara,Barueri,h,y,,,,,,,,,,,,,,,
22,2007,Brazil B,Marilia,Betim,h,y,,,,,,,,,,,,,,,
23,2007,Brazil B,Santa Cruz,Brasiliense,h,n,,,,,,,,,,,,,,,
24,2007,Brazil B,Portuguesa,Coritiba,h,n,,,,,,,,,,,,,,,
25,2007,Brazil B,Paulista,Criciuma,a,y,,,,,,,,,,,,,,,
26,2007,Brazil B,Sao Caetano,Fortaleza,a,n,,,,,,,,,,,,,,,
27,2007,Brazil B,Remo,Ituano,h,y,,,,,,,,,,,,,,,
28,2007,Brazil B,Avai,Ponte Preta,d,n,,,,,,,,,,,,,,,
29,2007,Brazil B,Gama,Santo Andre,h,n,,,,,,,,,,,,,,,
30,2007,Brazil B,Coritiba,Avai,h,n,,,,,,,,,,,,,,,
31,2007,Brazil B,Brasiliense,Ceara,a,y,,,,,,,,,,,,,,,
32,2007,Brazil B,Betim,Gama,a,n,,,,,,,,,,,,,,,
33,2015,Brazil B,Atletico GO,Bahia,h,n,2.17,3.0,3.3,h,a,d,1.665,2.08,y,n,0.4179,0.27699999999999997,0.3029,0.5563,0.4437
34,2015,Brazil B,America MG,Botafogo RJ,d,n,1.85,3.5,3.9,h,d,a,1.66,2.05,y,n,0.5046,0.2615,0.2355,0.5576,0.4424
35,2007,Brazil B,Bahia,Paulista,h,n,,,,,,,,,,,,,,,
36,2015,Brazil B,Nautico,Bragantino,a,n,1.85,3.4,3.8,h,d,a,1.65,2.1,y,n,0.4965,0.2662,0.2378,0.56,0.44
37,2007,Brazil B,Fortaleza,Remo,h,y,,,,,,,,,,,,,,,
