,m.res.1x2,m.res.bts,m.ss.ch.nm,m.ss.yi,m.ta,m.th,m.odds.f.1x2.f.c,m.odds.f.1x2.f.v.avg,m.odds.f.1x2.m.c,m.odds.f.1x2.m.v.avg,m.odds.f.1x2.u.c,m.odds.f.1x2.u.v.avg,m.odds.f.bts.f.c,m.odds.f.bts.f.v.avg,m.odds.f.bts.u.c,m.odds.f.bts.u.v.avg
0,h,n,Brazil B,2007,Ituano,Avai,,,,,,,,,,
1,a,y,Brazil B,2007,Santo Andre,Ceara,,,,,,,,,,
2,h,y,Brazil B,2007,Barueri,CRB,,,,,,,,,,
3,h,n,Brazil B,2007,Bahia,Gama,,,,,,,,,,
4,a,y,Brazil B,2007,Fortaleza,Marilia,,,,,,,,,,
5,a,y,Brazil B,2007,Betim,Paulista,,,,,,,,,,
6,h,y,Brazil B,2007,Criciuma,Portuguesa,,,,,,,,,,
7,a,n,Brazil B,2007,Ponte Preta,Remo,,,,,,,,,,
8,a,y,Brazil B,2007,Coritiba,Santa Cruz,,,,,,,,,,
9,h,n,Brazil B,2007,Brasiliense,Sao Caetano,,,,,,,,,,
10,d,y,Brazil B,2007,Remo,Bahia,,,,,,,,,,
11,a,n,Brazil B,2007,Gama,Barueri,,,,,,,,,,
12,h,n,Brazil B,2007,Sao Caetano,Betim,,,,,,,,,,
13,d,y,Brazil B,2007,Portuguesa,Brasiliense,,,,,,,,,,
14,h,n,Brazil B,2007,Santa Cruz,Criciuma,,,,,,,,,,
15,h,y,Brazil B,2007,Paulista,Fortaleza,,,,,,,,,,
16,a,n,Brazil B,2007,CRB,Ituano,,,,,,,,,,
17,d,y,Brazil B,2007,Ceara,Ponte Preta,,,,,,,,,,
18,a,y,Brazil B,2007,Marilia,Coritiba,,,,,,,,,,
19,h,n,Brazil B,2007,Avai,Santo Andre,,,,,,,,,,
20,h,y,Brazil B,2007,CRB,Bahia,,,,,,,,,,
21,h,y,Brazil B,2007,Ceara,Barueri,,,,,,,,,,
22,h,y,Brazil B,2007,Marilia,Betim,,,,,,,,,,
23,h,n,Brazil B,2007,Santa Cruz,Brasiliense,,,,,,,,,,
24,h,n,Brazil B,2007,Portuguesa,Coritiba,,,,,,,,,,
25,a,y,Brazil B,2007,Paulista,Criciuma,,,,,,,,,,
26,a,n,Brazil B,2007,Sao Caetano,Fortaleza,,,,,,,,,,
27,h,y,Brazil B,2007,Remo,Ituano,,,,,,,,,,
28,d,n,Brazil B,2007,Avai,Ponte Preta,,,,,,,,,,
29,h,n,Brazil B,2007,Gama,Santo Andre,,,,,,,,,,
30,h,n,Brazil B,2007,Coritiba,Avai,,,,,,,,,,
31,a,y,Brazil B,2007,Brasiliense,Ceara,,,,,,,,,,
32,a,n,Brazil B,2007,Betim,Gama,,,,,,,,,,
33,h,n,Brazil B,2015,Atletico GO,Bahia,h,2.167,a,3.0843,d,3.2926,y,1.6517,n,2.105
34,d,n,Brazil B,2015,America MG,Botafogo RJ,h,1.8388,d,3.492,a,3.8548,y,1.6731,n,2.0638
35,h,n,Brazil B,2007,Bahia,Paulista,,,,,,,,,,
36,a,n,Brazil B,2015,Nautico,Bragantino,h,1.8552,d,3.432,a,3.8432,y,1.6615,n,2.0962
37,h,y,Brazil B,2007,Fortaleza,Remo,,,,,,,,,,
38,h,n,Brazil B,2015,Macae,Ceara,h,1.4525,d,4.0792,a,6.2696,y,1.8162,n,1.8823
39,d,y,Brazil B,2007,Ituano,Sao Caetano,,,,,,,,,,
40,h,n,Brazil B,2015,Mogi Mirim,Luverdense,h,1.3444,d,4.5772,a,7.8812,n,1.7736,y,1.9227
41,h,y,Brazil B,2007,Barueri,Portuguesa,,,,,,,,,,
42,d,n,Brazil B,2015,Paysandu PA,Oeste,h,1.7312,d,3.4572,a,4.4912,n,1.7923,y,1.9108
43,d,y,Brazil B,2007,Ponte Preta,Santa Cruz,,,,,,,,,,
44,d,y,Brazil B,2015,Parana,Sampaio Correa,h,1.7316,d,3.4816,a,4.4444,y,1.7862,n,1.9215
45,h,n,Brazil B,2007,Criciuma,CRB,,,,,,,,,,
46,h,y,Brazil B,2015,Vitoria,Santa Cruz,h,1.5464,d,3.8604,a,5.4879999999999995,y,1.8031,n,1.8969
47,h,y,Brazil B,2007,Santo Andre,Marilia,,,,,,,,,,
48,h,y,Brazil B,2007,Ituano,Brasiliense,,,,,,,,,,
49,d,y,Brazil B,2007,Bahia,Coritiba,,,,,,,,,,
50,a,n,Brazil B,2007,Santo Andre,Criciuma,,,,,,,,,,
51,h,y,Brazil A,2006,Juventude,Corinthians,h,1.6144,d,3.5278,a,4.8211,,,,
